artist_name,track_name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
Dawn Upshaw,"Symphony No. 3, Op. 36: II. Lento e Largo - Tranquillissimo",36,0.889,0.0632,0.0765,0.473,A#,0.109,-19.785,Minor,0.0433,69.684,0.028,Classical
Edward Elgar,"Concerto in E Minor for Cello and Orchestra, Op. 85: III. Adagio",28,0.975,0.15,0.0247,0.904,A#,0.102,-28.903,Major,0.0446,84.906,0.0282,Classical
Edvard Grieg,"Lyric Pieces Book V, Op.54: 4. Notturno",29,0.989,0.265,0.0526,0.918,C,0.0914,-28.184,Major,0.0506,173.773,0.0286,Classical
Jóhann Jóhannsson,A Spacetime Singularity,36,0.932,0.217,0.104,0.909,G#,0.0846,-22.45,Major,0.0414,69.082,0.0287,Classical
Jóhann Jóhannsson,Viva Voce,36,0.942,0.0845,0.138,0.943,C,0.0993,-19.285,Major,0.0548,79.747,0.0287,Classical
Franz Liszt,"Eine Symphonie zu Dantes Divina Commedia, S109/R426, ""Dante Symphony"": I. Inferno: Quasi andante, ma sempre un poco mosso",29,0.958,0.159,0.0163,0.121,C#,0.243,-35.808,Major,0.0502,132.645,0.0289,Classical
Maurice Ravel,Miroirs: III. Une Barque sur l'Océan,46,0.984,0.299,0.0514,0.901,D,0.0772,-25.372,Major,0.0419,64.307,0.029,Classical
Samuel Barber,"String Quartet, Op. 11: II. Adagio",40,0.94,0.0715,0.0669,0.716,A#,0.236,-24.361,Minor,0.0557,76.294,0.0292,Classical
Hildur Guðnadóttir,Elevation,36,0.861,0.0602,0.113,0.976,G,0.109,-17.579,Minor,0.0427,62.271,0.0294,Classical
Gustav Holst,"The Planets, Op. 32, H. 125: II. Venus, the Bringer of Peace",31,0.979,0.0618,0.0241,0.895,F,0.143,-29.675,Minor,0.0456,63.827,0.0294,Classical
Benjamin Britten,"A Midsummer Night's Dream / Act 2: A Midsummer Night's Dream, Act 2: ""On The Ground, Sleep Sound""",23,0.955,0.0798,0.0349,0.83,F,0.0973,-29.814,Minor,0.0452,173.507,0.0296,Classical
Ola Gjeilo,"Serenity, ""O magnum mysterium""",28,0.992,0.161,0.0637,0.938,G,0.0636,-26.315,Major,0.049,73.904,0.0299,Classical
Ola Gjeilo,"Sunrise Mass: Kyrie ""The Spheres""",26,0.993,0.173,0.0486,0.374,C#,0.0751,-26.893,Minor,0.0394,82.31,0.0301,Classical
James MacMillan,MacMillan: Seraph: II. Adagio,33,0.952,0.0803,0.01,0.0812,G,0.107,-29.72,Major,0.0473,80.696,0.0302,Classical
Arvo Pärt,Magnificat - Song of Mary,45,0.98,0.157,0.0114,0.081,C#,0.0655,-27.428,Major,0.0469,135.001,0.0304,Classical
James MacMillan,O virgo prudentissima,11,0.985,0.178,0.113,0.0039,C,0.0562,-24.192,Major,0.0431,133.671,0.0305,Classical
Johann Sebastian Bach,"Come, Sweet Death, Come Blessed Rest, BWV 478 [Live at iTunes Festival 2014]",29,0.988,0.0667,0.309,0.0019,D#,0.945,-18.689,Major,0.0623,74.84,0.0306,Classical
Howard Shore,"Caras Galadhon / ""Lament For Gandalf"" (feat. Elizabeth Fraser)",34,0.843,0.155,0.0447,0.883,F,0.124,-26.186,Major,0.0427,134.567,0.0306,Classical
Sarah Davachi,Gilded,45,0.937,0.242,0.18,0.937,E,0.0986,-21.176,Minor,0.0457,68.985,0.0307,Jazz
Howard Shore,Shores of the Long Lake,24,0.982,0.145,0.0779,0.916,A#,0.0764,-22.102,Major,0.0419,71.444,0.0307,Classical
André Laplante,Une Barque Sur L'océan from Miroirs,44,0.981,0.292,0.113,0.887,D,0.0871,-21.698,Major,0.0403,68.081,0.0308,Classical
Eric Whitacre,Water Night,30,0.993,0.152,0.0439,0.691,A#,0.157,-22.915,Minor,0.0371,135.59,0.0309,Classical
Gregorio Allegri,"Miserere mei, Deus",33,0.986,0.163,0.0199,0.105,G,0.0815,-36.09,Minor,0.0421,131.849,0.031,Classical
Howard Shore,Courage and Wisdom,29,0.984,0.0811,0.0805,0.895,F,0.106,-21.793,Minor,0.0415,173.87,0.031,Classical
Ruth Crawford Seeger,"String Quartet, ""1931"": III. Andante",25,0.973,0.0712,0.0169,0.35,C#,0.0731,-26.569,Major,0.0496,77.78,0.0311,Classical
Howard Shore,The Leave Taking,42,0.951,0.109,0.0324,0.954,E,0.0873,-30.259,Minor,0.0411,84.505,0.0312,Classical
Philip Glass,Orphée Suite - 6. Orphee's Return,31,0.99,0.395,0.0997,0.892,F,0.0877,-23.579,Major,0.0433,127.275,0.0312,Classical
Heitor Villa-Lobos,"Symphony No. 12, W539: II. Adagio",33,0.916,0.146,0.0246,0.688,A#,0.0762,-26.137,Minor,0.0425,138.905,0.0312,Classical
Wilhelm Stenhammar,"Sången, Op. 44: The Song: Interlude",35,0.971,0.0897,0.0095,0.927,D#,0.0838,-27.343,Major,0.0404,87.16,0.0313,Classical
Getter,Rip N Dip,40,0.001,0.78,0.998,0.89,F,0.351,-1.467,Minor,0.271,112.546,0.0314,Electronic
Ryuichi Sakamoto,Hell Ensemble,29,0.742,0.143,0.105,0.889,D,0.106,-25.588,Major,0.063,139.351,0.0314,Classical
Samuel Barber,"Canzonetta, Op. 48 posth.",32,0.929,0.135,0.069,0.938,D#,0.155,-22.842,Major,0.0421,144.929,0.0314,Classical
Howard Shore,Andúril - Flame Of The West,39,0.958,0.157,0.0308,0.957,A,0.428,-19.788,Minor,0.04,59.9,0.0315,Classical
Aram Khachaturian,Masquerade : Nocturne,25,0.735,0.153,0.0314,0.0143,A,0.144,-31.809,Major,0.0443,104.542,0.0317,Classical
Claude Debussy,"Prélude à l'après-midi d'un faune, L. 86",0,0.977,0.143,0.029,0.875,B,0.0526,-28.299,Major,0.0397,140.191,0.0317,Classical
David Lang,I lie,38,0.992,0.196,0.0323,0.0033,C#,0.0906,-31.991,Major,0.0456,143.42,0.0317,Classical
Claude Debussy,Prelude to the Afternoon of a Faun,26,0.964,0.0832,0.0282,0.871,E,0.0651,-30.073,Major,0.0462,172.169,0.0317,Classical
Claude Debussy,"Préludes, Livre 1, L. 117: 2. Voiles. Modéré",33,0.995,0.267,0.0233,0.828,C,0.0663,-28.439,Minor,0.0426,74.175,0.0318,Classical
Harold Budd,Bismillahi 'Rrahmani 'Rrahim,30,0.963,0.119,0.052,0.861,F#,0.113,-23.698,Major,0.0366,83.501,0.0319,Classical
Howard Shore,The Passing Of The Grey Company,40,0.95,0.0836,0.024,0.929,E,0.104,-31.059,Minor,0.0451,84.904,0.0321,Classical
Claude Debussy,"Le martyre de saint Sébastien, Fragments symphoniques, L. 124: No. 1, La cour de lys",41,0.989,0.143,0.0065,0.965,G#,0.09,-33.494,Minor,0.0411,139.99,0.0321,Classical
Gustav Holst,"The Planets, Op. 32 (Remastered): II. Venus, the Bringer of Peace",25,0.927,0.0653,0.036,0.341,A#,0.139,-29.005,Minor,0.0352,69.503,0.0323,Classical
Morten Lauridsen,"Les Chansons des roses: No. 2. Contre qui, rose",28,0.984,0.0695,0.0087,0.02,A#,0.103,-35.457,Minor,0.0505,77.05,0.0323,Classical
James MacMillan,Miserere,29,0.987,0.173,0.0359,0.0068,E,0.138,-26.436,Minor,0.0458,129.138,0.0323,Classical
Jean Sibelius,"Pelleas and Melisande Suite, Op. 46, JS 147: Act V Scene 2: Prelude: Andante",31,0.957,0.155,0.0098,0.965,D,0.0589,-29.809,Minor,0.0413,61.581,0.0324,Classical
Granville Bantock,Violin Sonata No.3 in C major,36,0.961,0.145,0.0085,0.0028,C,0.121,-32.037,Major,0.0529,67.243,0.0324,Classical
Wojciech Kilar,Mina/Dracula,30,0.916,0.0773,0.025,0.889,E,0.0846,-28.544,Minor,0.0464,80.83,0.0324,Classical
empty_field,"Strauss: Vier Letzte Lieder, TrV 296: III. Beim Schlafengehen, ""Nun der Tag mich müd' gemacht"" (Excerpt)",22,0.966,0.142,0.131,0.132,C#,0.0951,-17.637,Major,0.044,99.661,0.0324,Classical
Jóhann Jóhannsson,They Being Dead Yet Speaketh,34,0.914,0.093,0.0282,0.933,C,0.0988,-25.666,Minor,0.0422,66.241,0.0325,Classical
Maurice Ravel,"Jeux d’eau, M 30",39,0.992,0.24,0.0772,0.903,F#,0.111,-25.605,Minor,0.0475,67.19,0.0325,Classical
Philip Glass,Distant Figure Passacaglia,30,0.985,0.204,0.066,0.885,F,0.0726,-24.892,Major,0.0362,130.554,0.0325,Classical
Gustav Mahler,Symphony No. 5 in C-Sharp Minor: IV. Adagietto: Sehr langsam,39,0.925,0.115,0.0387,0.88,F,0.0721,-23.985,Major,0.0454,79.559,0.0326,Classical
Eric Whitacre,Alleluia,35,0.993,0.0856,0.108,0.418,C#,0.0989,-23.231,Major,0.0447,80.666,0.0326,Classical
Gustav Mahler,Symphony No.3 in D minor / Part 2: 6. Langsam. Ruhevoll. Empfunden,9,0.916,0.0981,0.0975,0.933,D,0.345,-17.076,Major,0.0386,88.999,0.0326,Classical
Edvard Grieg,"Peer Gynt-Suite Nr. 1, Op. 46: II. Death of Aase",34,0.932,0.144,0.0182,0.738,G,0.0976,-25.186,Major,0.0427,139.327,0.0326,Classical
Howard Shore,"The Last Debate - feat. Sissel Performing ""Asëa Aranion""",38,0.938,0.0708,0.0509,0.898,E,0.136,-24.076,Minor,0.05,76.346,0.0327,Classical
Edvard Grieg,"Lyric Pieces, Op. 38, No. 3: Melody",0,0.995,0.346,0.0213,0.908,D,0.0827,-22.244,Minor,0.0416,78.139,0.0327,Classical
Edvard Grieg,"Old Norwegian Romance, Op. 51: I. Poco tranquillo",23,0.969,0.207,0.0099,0.487,F,0.11,-31.14,Major,0.0426,82.455,0.0328,Classical
Richard Strauss,"Capriccio, Op.85, TrV 279: Mondscheinmusik",36,0.984,0.138,0.144,0.936,A,0.0806,-17.179,Major,0.0407,100.391,0.0329,Classical
Ludwig van Beethoven,"Elegischer Gesang, Op. 118",38,0.974,0.0607,0.021,0.275,D#,0.151,-29.408,Major,0.04,60.089,0.0331,Classical
Morten Lauridsen,O Magnum Mysterium: O magnum mysterium,42,0.991,0.0623,0.0116,0.445,D,0.0816,-27.893,Major,0.0567,65.057,0.0331,Classical
Ludwig van Beethoven,"Piano Trio No. 1 in D Major, Op. 70, ""Ghost Trio"": II. Largo assai ed espressivo",24,0.948,0.168,0.0157,0.375,D,0.0957,-25.816,Minor,0.0457,142.184,0.0331,Classical
Ólafur Arnalds,Verses,42,0.867,0.14,0.159,0.917,C#,0.392,-17.845,Minor,0.0401,142.239,0.0331,Classical
Ryuichi Sakamoto,Carrying Glass,31,0.913,0.0798,0.004,0.852,E,0.107,-31.063,Minor,0.049,169.457,0.0331,Classical
Sergei Prokofiev,"Romeo and Juliet, Op. 64 (Excerpts): Act IV, Epilogue, No. 52: Death of Juliet",24,0.894,0.0696,0.0747,0.755,C,0.325,-23.086,Major,0.0417,75.282,0.0333,Classical
Jon Hopkins,Everything Connected - Stephan Hinz Remix,48,0.0002,0.595,0.942,0.72,G,0.318,-11.22,Major,0.0416,130.013,0.0333,Electronic
Ólafur Arnalds,Letters Of A Traveller,29,0.956,0.205,0.0302,0.95,C#,0.124,-27.335,Major,0.0401,71.607,0.0335,Classical
London Philharmonic Orchestra,"Adagio for Strings, Op. 11a",44,0.932,0.152,0.171,0.868,A#,0.107,-16.298,Minor,0.0412,77.736,0.0335,Classical
Gustav Mahler,Das Lied von der Erde: 6. Der Abschied,4,0.981,0.141,0.0609,0.518,F,0.0777,-22.034,Major,0.0461,80.488,0.0335,Classical
Hector Berlioz,"La Damnation de Faust, Op. 24, H. 111: Pt. IV, Scène XX - Dans le ciel. ""Laus! Hosanna!"" - Apothéose de Marguerite. ""Remonte au ciel, âme naïve""",0,0.969,0.173,0.0356,0.682,C#,0.0772,-30.136,Major,0.0442,118.7,0.0335,Classical
Franz Liszt,"Romance ""O pourquoi donc"" in E Minor, S. 169",45,0.99,0.175,0.0089,0.883,E,0.0867,-32.144,Minor,0.0457,66.935,0.0336,Classical
Franz Liszt,"Via Crucis, S. 53: Station XII. Jesus stirbt am Kreuze",13,0.989,0.131,0.0096,0.429,D,0.0598,-31.776,Major,0.0458,67.134,0.0336,Classical
Ólafur Arnalds,Raddir,39,0.978,0.0729,0.241,0.978,B,0.0654,-16.743,Minor,0.0409,77.101,0.0336,Classical
Franz Liszt,"Via Crucis, S. 53: Station VIII. Die Frauen von Jerusalem",15,0.992,0.43,0.009,0.0076,C#,0.0793,-27.296,Major,0.0544,134.267,0.0337,Classical
Einojuhani Rautavaara,"Piano Concerto No. 3, ""Gift of Dreams"": II. Adagio assai",34,0.974,0.228,0.0074,0.902,F,0.0993,-27.579,Major,0.0351,65.419,0.0338,Classical
Howard Shore,The Tower Of Cirith Ungol,35,0.696,0.0834,0.187,0.925,D,0.138,-20.036,Minor,0.036,69.195,0.0338,Classical
Frédéric Chopin,"Études, Op. 25: No. 1 in A-Flat Major ""Harp Study""",28,0.981,0.36,0.098,0.929,G#,0.0883,-21.692,Major,0.0476,71.937,0.0338,Classical
Wolfgang Amadeus Mozart,"Requiem in D Minor, K. 626 (Süssmayr - Dutron 2016 completion): II. Sequentia - Lacrimosa",35,0.977,0.179,0.0869,0.0084,D,0.14,-21.333,Major,0.0402,83.103,0.0338,Classical
Samuel Barber,"Concerto for Violin & Orchestra, Op.14 : 2. Andante",32,0.856,0.111,0.0458,0.863,E,0.0811,-25.609,Major,0.0449,85.125,0.0338,Classical
Alban Berg,Violin Concerto - 'To the Memory of an Angel': Violin Concerto - 'To the Memory of an Angel': I. Andante - Allegretto,45,0.971,0.209,0.157,0.335,D,0.102,-18.821,Minor,0.0391,106.24,0.0338,Classical
Antonín Dvořák,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo",33,0.975,0.161,0.0316,0.94,C#,0.0949,-24.25,Major,0.0443,132.715,0.0338,Classical
Antonín Dvořák,"Symphony No. 9 in E Minor, Op. 95, ""From the New World"": Largo",29,0.975,0.161,0.0316,0.94,C#,0.0949,-24.25,Major,0.0443,132.715,0.0338,Classical
Wolfgang Amadeus Mozart,"Ave, verum Corpus: Ave, verum Corpus - Live",26,0.978,0.0728,0.026,0.0221,D,0.0664,-29.332,Major,0.0464,73.436,0.0339,Classical
Howard Shore,The Mirror Of Galadriel,31,0.804,0.0645,0.0135,0.847,C,0.105,-26.747,Major,0.0405,73.597,0.0339,Classical
Florent Schmitt,"Symphonie concertante, Op. 82: II. Lent",34,0.915,0.0952,0.0913,0.745,G#,0.106,-19.069,Major,0.0338,76.753,0.0339,Classical
Philip Glass,Something She Has to Do,37,0.94,0.134,0.0338,0.978,F,0.0967,-28.421,Major,0.0368,97.06,0.0339,Classical
Wolfgang Amadeus Mozart,"Requiem, K. 626. Lacrymosa",25,0.985,0.152,0.0534,0.919,D,0.152,-20.301,Minor,0.045,138.295,0.0339,Classical
Bassnectar,After Thought,25,0.0253,0.379,0.792,0.836,C#,0.649,-7.988,Minor,0.0885,179.982,0.0339,Electronic
Dmitri Shostakovich,"String Quartet No.8 in C minor, Op.110: 1. Largo",24,0.949,0.146,0.0067,0.0992,G#,0.0959,-34.269,Major,0.0468,93.179,0.034,Classical
Loscil,Anthropocene,41,0.785,0.52,0.298,0.947,A,0.11,-24.263,Minor,0.0431,115.986,0.034,Electronic
Jean-Yves Thibaudet,"End Credits - From ""Pride & Prejudice"" Soundtrack",48,0.984,0.0825,0.0213,0.835,D#,0.0656,-24.644,Major,0.0424,63.965,0.0341,Classical
Carlo Gesualdo,"Feria Quinta, Tenebrae Responsories for Maundy Thursday: II. Tristis est anima mea",34,0.993,0.0971,0.086,0.0001,F,0.0883,-22.677,Major,0.0569,73.547,0.0341,Classical
Aaron Copland,Symphony No. 3: III. Andantino quasi allegretto,23,0.94,0.192,0.0241,0.588,E,0.342,-29.197,Minor,0.0445,135.888,0.0341,Classical
Maurice Ravel,Jeux d'eau,24,0.991,0.286,0.109,0.907,C#,0.0816,-22.776,Minor,0.035,94.565,0.0342,Classical
Howard Shore,The Paths Of The Dead,36,0.619,0.0607,0.148,0.942,E,0.105,-21.983,Minor,0.0384,60.144,0.0343,Classical
Howard Shore,The Edge of the Wild - Exclusive Bonus Track,29,0.375,0.171,0.256,0.918,A,0.0946,-18.542,Major,0.0411,122.999,0.0343,Classical
Jóhann Jóhannsson,Horns of Abraxas,32,0.835,0.188,0.222,0.943,G,0.111,-21.002,Minor,0.0413,77.866,0.0344,Classical
Gustav Mahler,"Symphony No. 2 in C Minor ""Resurrection"": 4. ""O Röschen rot! Der Mensch liegt in grösster Not!"" (Sehr feierlich aber schlicht) ""Urlicht""",12,0.982,0.179,0.0341,0.0042,C#,0.0802,-29.462,Major,0.0494,93.177,0.0344,Classical
Hildegard von Bingen,Responsory: O felix anima,30,0.991,0.203,0.0311,0.0025,A#,0.0807,-31.284,Minor,0.0542,102.523,0.0345,Classical
Frederick Delius,"Delius: Irmelin, Prelude for Orchestra, RT VI/27",31,0.972,0.163,0.0586,0.915,F#,0.118,-28.09,Major,0.0452,131.045,0.0345,Classical
Gustav Mahler,"Symphony No. 2 in C Minor ""Resurrection"": IV. Urlicht. Sehr feierlich, aber schlicht",34,0.923,0.0738,0.0037,0.0011,C#,0.0802,-38.311,Major,0.0511,70.65,0.0346,Classical
Howard Shore,Three Is Company,36,0.965,0.134,0.0106,0.915,A,0.104,-28.246,Minor,0.0373,79.148,0.0346,Classical
Howard Shore,The Great Eye,33,0.932,0.0762,0.0217,0.963,D,0.0816,-24.505,Minor,0.0383,80.545,0.0346,Classical
Claude Debussy,"Jeux, poème dansé, L.126",36,0.968,0.128,0.0726,0.797,F#,0.185,-26.751,Major,0.0449,88.804,0.0346,Classical
Aaron Jay Kernis,Perpetual Chaconne,0,0.986,0.212,0.0343,0.759,B,0.0873,-21.815,Minor,0.0459,139.739,0.0346,Classical
empty_field,Appalachian Spring: III. Moderato,24,0.977,0.0766,0.0289,0.91,F#,0.184,-24.189,Major,0.0442,177.179,0.0346,Classical
Pēteris Vasks,The Fruit of Silence,31,0.992,0.0951,0.0155,0.923,D#,0.067,-32.509,Major,0.0419,65.297,0.0347,Classical
Antonín Dvořák,"Largo aus der ""Neuen Welt"" / 9. Sinfonie (Largo from The New World)",0,0.983,0.123,0.0323,0.961,C#,0.105,-23.746,Major,0.0428,68.791,0.0347,Classical
Ludwig van Beethoven,"String Quartet No. 14 in C-Sharp Minor, Op. 131: VI. Adagio quasi un poco andante",22,0.954,0.173,0.0485,0.813,G#,0.215,-26.573,Minor,0.0491,83.272,0.0347,Classical
Philip Glass,Dead Things,36,0.974,0.326,0.0413,0.951,D#,0.128,-21.02,Major,0.0324,96.38,0.0347,Classical
Bonobo,Know You - Live,32,0.012,0.595,0.789,0.935,F#,0.16,-7.869,Major,0.0321,130.007,0.0347,Electronic
Hildegard von Bingen,O Virtus Sapiente,33,0.949,0.0906,0.0056,0.983,E,0.106,-37.65,Major,0.0603,57.238,0.0348,Classical
Franz Liszt,"Liebestraum No. 3 in A-Flat Major, S. 541/3",43,0.991,0.203,0.0174,0.908,G#,0.113,-26.688,Major,0.0412,63.933,0.0348,Classical
Wolfgang Amadeus Mozart,"Requiem, K. 626. Confutatis",23,0.994,0.196,0.0447,0.945,A,0.0988,-20.643,Minor,0.0395,66.797,0.0348,Classical
Igor Stravinsky,The Rite of Spring: Part One: The Adoration of the Earth - Introduction,26,0.888,0.204,0.0278,0.777,C#,0.0833,-32.442,Major,0.0428,74.907,0.0348,Classical
Wolfgang Amadeus Mozart,"String Quartet No. 8 in F Major, K. 168: II. Andante",28,0.98,0.0696,0.0176,0.929,F,0.106,-32.447,Minor,0.0475,75.767,0.0348,Classical
Jóhann Jóhannsson,A Pile Of Dust,37,0.853,0.105,0.079,0.882,G#,0.132,-18.03,Major,0.0479,81.056,0.0348,Classical
Edvard Grieg,Peer Gynt: Morning,46,0.99,0.141,0.0688,0.931,D#,0.161,-18.838,Major,0.0446,60.688,0.0349,Classical
Philip Glass,Etude No. 5,54,0.995,0.428,0.0171,0.899,F,0.114,-23.331,Minor,0.0384,69.289,0.0349,Classical
Pérotin,Beata viscera (monophonic conductus),37,0.993,0.263,0.0733,0.123,C#,0.285,-24.833,Minor,0.0438,103.947,0.0349,Classical
Richard Skelton,Threads Across the River,39,0.872,0.121,0.27,0.746,F,0.176,-13.276,Minor,0.0421,71.806,0.035,Jazz
Arvo Pärt,Silouans Song,34,0.905,0.126,0.0966,0.605,F,0.0951,-19.206,Minor,0.0413,82.311,0.035,Classical
Franz Liszt,"Eine Symphonie zu Dantes Divina Commedia, S109/R426, ""Dante Symphony"": II. Purgatorio: Magnificat: L'istesso tempo - Poco a poco accelerando e crescendo sin al Piu mosso - Piu mosso ma non troppo - Un poco piu lento - L'istesso tempo, ma quieto assai",28,0.987,0.113,0.0749,0.777,B,0.075,-22.675,Major,0.0456,86.059,0.035,Classical
César Franck,"Messe a 3 voix (Mass in 3 voices), Op. 12, M. 61: Panis angelicus",47,0.975,0.174,0.0259,0.213,A,0.0863,-28.409,Major,0.0494,89.22,0.035,Classical
Samuel Barber,"Cello Concerto, Op. 22: II. Andante sostenuto",27,0.889,0.118,0.0338,0.792,A,0.0928,-28.578,Major,0.0464,89.508,0.035,Classical
Kerala Dust,Medea,44,0.591,0.826,0.303,0.496,F#,0.152,-15.485,Minor,0.0603,108.016,0.035,Electronic
Franz Liszt,"愛の夢 第3番: Liebestraum No.3 in A flat, S.541 No.3",26,0.991,0.318,0.129,0.878,G#,0.0907,-19.925,Major,0.0424,110.405,0.035,Classical
Claude Debussy,"Préludes, Livre 1, L. 117: 3. Le vent dans la plaine. Animé",32,0.991,0.306,0.147,0.905,B,0.159,-23.548,Major,0.0427,76.357,0.0351,Classical
Jóhann Jóhannsson,The Whirling Ways of Stars That Pass,38,0.99,0.445,0.0523,0.97,E,0.0878,-26.717,Minor,0.0796,100.322,0.0351,Classical
Philip Glass,The Hours,43,0.973,0.41,0.125,0.946,G,0.092,-21.216,Minor,0.0324,103.984,0.0351,Classical
Edvard Grieg,"Peer Gynt Suite No.2, Op.55: 4. Solveig's song",30,0.773,0.171,0.0081,0.0128,A,0.0492,-38.709,Minor,0.0452,124.182,0.0351,Classical
Howard Shore,The Pass Of Caradhras,32,0.863,0.06,0.118,0.915,A,0.109,-20.184,Minor,0.0373,65.794,0.0352,Classical
Edvard Grieg,"Peer Gynt-Suite Nr. 1, Op. 46: I. Morning",42,0.985,0.123,0.0174,0.906,E,0.125,-23.671,Major,0.0408,71.705,0.0352,Classical
Anton Bruckner,Messe en mi mineur: Messe en mi mineur: Kyrie. Feierlich,34,0.99,0.122,0.0365,0.0017,E,0.0959,-25.023,Minor,0.0465,74.217,0.0352,Classical
Eugene Ormandy,"Adagio for Strings, Op.11",29,0.941,0.103,0.0843,0.877,A#,0.0841,-21.633,Minor,0.0443,85.613,0.0352,Classical
Edvard Grieg,"Piano Concerto in A Minor, Op.16: II. Adagio",44,0.982,0.161,0.0247,0.933,C#,0.0829,-25.167,Major,0.0384,92.975,0.0352,Classical
Johannes Brahms,"Symphony No. 3 in F Major, Op. 90: II. Andante (Recorded 1956)",0,0.986,0.0614,0.0653,0.963,C,0.105,-20.529,Major,0.0468,62.451,0.0353,Classical
Howard Shore,Gollum's Villainy,39,0.967,0.0906,0.0301,0.0642,A,0.203,-25.126,Minor,0.0419,80.789,0.0353,Classical
Ludwig van Beethoven,"Piano Sonata No.29 In B-Flat, Op.106 -""Hammerklavier"": 3. Adagio sostenuto",21,0.993,0.348,0.0145,0.904,D,0.0782,-28.347,Major,0.0484,74.126,0.0354,Classical
Anton Bruckner,"Bruckner: Symphony No. 4 in E-Flat Major, ""Romantic"": II. Andante quasi allegretto",29,0.964,0.0883,0.0158,0.637,G#,0.0523,-24.158,Major,0.0399,74.681,0.0354,Classical
Eric Whitacre,Leonardo Dreams Of His Flying Machine,25,0.98,0.135,0.106,0.0276,D,0.239,-23.419,Minor,0.0424,78.661,0.0354,Classical
John Tavener,Hymn for the Dormition of the Mother of God,12,0.985,0.079,0.0442,0.115,G,0.0909,-32.654,Major,0.0424,81.046,0.0354,Classical
Samuel Barber,"Barber: Adagio for Strings, Op. 11a",44,0.955,0.115,0.114,0.917,A#,0.0904,-20.418,Minor,0.0436,89.295,0.0354,Classical
Morten Lauridsen,O magnum mysterium,25,0.991,0.153,0.0276,0.062,D,0.0929,-24.476,Major,0.0442,104.76,0.0354,Classical
Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46: I. Morning",32,0.977,0.149,0.032,0.883,E,0.151,-21.838,Major,0.0401,143.738,0.0354,Classical
Wolfgang Amadeus Mozart,"Requiem In D Minor, K.626: 3. Sequentia: Confutatis",37,0.993,0.125,0.02,0.946,D,0.139,-23.209,Minor,0.0463,70.153,0.0355,Classical
John Mackey,Sheltering Sky,30,0.984,0.0656,0.0366,0.884,D#,0.745,-27.868,Major,0.0496,73.093,0.0355,Classical
Howard Shore,"The Council of Elrond Assembles / ""Aníron"" (feat. Enya)",35,0.92,0.0753,0.0315,0.865,G#,0.104,-30.13,Major,0.0404,79.976,0.0355,Classical
David Hohme,Ascent,35,0.0062,0.685,0.63,0.949,D,0.0684,-13.245,Major,0.0488,120.015,0.0355,Electronic
Sasha,Singularity - BAILE Remix,34,0.106,0.611,0.546,0.862,E,0.0758,-10.935,Minor,0.032,124.023,0.0355,Electronic
empty_field,"Maurerische Trauermusik, K 477",51,0.963,0.162,0.0258,0.826,C,0.129,-20.923,Major,0.0343,131.403,0.0355,Classical
Subtronics,Ocean Lab,26,0.0956,0.72,0.985,0.0143,C#,0.435,-0.745,Minor,0.5,75.014,0.0356,Electronic
Wolfgang Amadeus Mozart,"Requiem in D Minor, K. 626: IIIe. Sequence No. 5, Confutatis maledictis (Live)",12,0.995,0.156,0.105,0.972,F,0.196,-21.497,Major,0.043,75.604,0.0356,Classical
