track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
"A Woman, a Lover, a Friend",0.482,0.53,0.237,0.0009,0.136,-13.878,0.0451,176.486,0.42
A Woman's Voice,0.0554,0.624,0.584,0.207,0.616,-7.168,0.0382,139.787,0.52
A Woman's Worth,0.527,0.618,0.537,0.509,0.104,-8.245,0.0421,137.773,0.412
Abandoned Mansion,0.456,0.481,0.523,0.0046,0.0602,-7.921,0.0279,123.676,0.285
"Abdelazer, Z.570: 2. Rondeau",0.684,0.373,0.0737,0.547,0.133,-19.416,0.0337,97.686,0.424
Aberdeen,0.0009,0.154,0.972,0.247,0.368,-3.626,0.111,205.467,0.213
About Her,0.0732,0.542,0.352,0.208,0.13,-7.689,0.0613,123.037,0.0989
About Him,0.77,0.718,0.236,0.005,0.123,-13.623,0.105,83.113,0.43
About The South,0.0304,0.64,0.939,0,0.31,-3.537,0.0677,138.922,0.857
About to Begin - 2007 Remaster,0.152,0.59,0.427,0,0.0386,-10.794,0.0311,86.546,0.212
Above And Beyond,0.597,0.52,0.525,0,0.0847,-7.449,0.0412,147.601,0.743
Above The Clouds,0.312,0.462,0.944,0.0001,0.367,-2.938,0.315,172.33,0.65
Absolute in Doubt,0.0219,0.733,0.66,0,0.151,-6.87,0.0436,138.034,0.259
Absolute Power,0.0015,0.505,0.892,0.0054,0.0919,-4.41,0.0384,155.095,0.361
Absolute Zero,0.0001,0.552,0.988,0.309,0.846,-2.555,0.0787,139.941,0.619
Absolutely,0.0009,0.596,0.888,0,0.0861,-3.585,0.0378,102.016,0.727
Academic,0.0021,0.519,0.956,0.0238,0.281,-4.985,0.0365,136.034,0.721
Ace In The Hole,0.682,0.42,0.247,0,0.0969,-11.38,0.0335,163.263,0.74
Achilipú,0.514,0.69,0.684,0,0.105,-4.683,0.0492,89.916,0.976
Acid,0.0336,0.561,0.647,0.872,0.0741,-8.578,0.0559,157.626,0.936
Acid Rain,0.0003,0.414,0.945,0.479,0.314,-4.66,0.0897,145.014,0.565
Acrid Avid Jam Shred,0.0213,0.708,0.938,0.902,0.0693,-9.969,0.0579,80.928,0.785
Across the Borderline,0.606,0.648,0.203,0.0006,0.108,-17.901,0.0342,94.238,0.57
Across The Great Divide - Remastered,0.331,0.723,0.486,0.0033,0.281,-10.101,0.0551,110.834,0.716
Act A Fool,0.221,0.568,0.904,0,0.22,-2.497,0.349,109.331,0.799
Act Ghetto,0.0009,0.865,0.655,0.0005,0.268,-9.096,0.174,85.988,0.66
